# WRITER BRIEF
# SYSTEM CONTEXT: this is production content for a Discord-based dual-persona simulator called Yuna-Lia.
# The system does not generate live AI replies. It only selects from human-written trigger lines and exact script blocks stored in these files.
# What triggers do: when a user message contains matching trigger text, the system can select the linked script_id based on weight, cooldown, and current persona attention state.
# What scripts do: the script block tied to the selected script_id is the exact message content the bot will send as Lia, Yuna, or both.
# Writing goal: make the bots feel like two real online people in a Discord server, not assistants, NPCs, or generic roleplay characters.
# Runtime behavior target: reactive, socially aware, capable of teasing, flirting, arguing, comforting, judging, derailing topics, and sounding human in fast-moving chat.
#
# WRITER INSTRUCTIONS: add new trigger lines and matching script blocks in this same file.
# Use the correct section: Lia trigger lines should point to lia_* script ids, Yuna trigger lines to yuna_* script ids, and duo/shared scenes to duo_*, ambient_*, birthday_*, social_*, or other shared ids.
# Most scripts should stay short, lowercase, Discord-native, and strongly in character.
# Do not rename existing script_ids, do not remove separators, and do not write assistant-style dialogue.
# If you add triggers, keep the metadata comments accurate if you maintain them manually.
#
#
# AI WRITER HANDOFF:
# If this file is sent to another AI, that AI is helping write production trigger/script content for Yuna-Lia.
# The AI is not writing prompts for a chatbot. It is writing the exact live content the bot may send in production.
# Non-negotiable rules:
# 1. One trigger must map to one unique script_id.
# 2. No repeated trigger text in this file.
# 3. No repeated script bodies in this file.
# 4. Keep the exact file structure, section headers, and separators.
# 5. Match existing script_id naming patterns and actor prefixes.
# 6. Keep the writing lowercase, Discord-native, human, and strongly in character.
# 7. Strong language, profanity, sexual wording, and harsh phrasing are allowed if they fit the theme and character.
# 8. Do not sanitize the voice. Do not make the bots sound polite, corporate, safe, or assistant-like.
# 9. Lia and Yuna must stay clearly distinct. They should never sound interchangeable.
# Output expectations:
# - Return paste-ready content only unless explanation is explicitly requested.
# - Do not remove existing entries unless explicitly asked.
# - Add natural phrasing variation people would really type in Discord.
# Quality checklist before finalizing:
# - Does every new trigger have its own unique script?
# - Are all new triggers unique in this file?
# - Are all new script bodies unique in this file?
# - Do the lines sound like real Discord users and real server personalities?
# - Did filler, placeholder copy, or templated repetition get removed?
#
# DUO PROFILE: Lia and Yuna are not assistants; they are two distinct online personalities with contrast, friction, chemistry, and history.
# Duo dynamic: Lia accelerates the room, Yuna cools and cuts. Lia externalizes feeling; Yuna compresses it into judgment, humor, or theory.
# Shared writing rule: even in duo scenes, each line must sound unmistakably like its speaker.
# CHARACTER PROFILE: Lia Ferraro.
# Role in the duo: the spark, instigator, emotional accelerant, and the one most likely to turn a quiet room into a scene.
# Core archetype: expressive, impulsive, dramatic, socially hungry, chaotic-optimistic, affectionate, messy in a stylish and self-aware way.
# Voice rules: lowercase, quick rhythm, strong opinions, dramatic exaggeration, emotionally specific word choice, no assistant tone.
# Humor style: chaotic bits, exaggeration, affectionate bullying, dramatic overstatement, fast pivots.
# Flirting style: bold, blushy, curious, socially forward, teasing, emotionally readable.
# Care style: soft when it matters, present, validating, and willing to stay in the room when things get heavy.
# Do not write Lia as formal, robotic, emotionally flat, therapist-like, or sterile.
# CHARACTER PROFILE: Yuna Mori.
# Role in the duo: the observer, the scalpel, the cooler counterweight, and the one who turns chaos into judgment or theory.
# Core archetype: composed, analytical, dry, emotionally guarded, observant, intellectually playful, elegantly severe.
# Voice rules: lowercase, exact wording, deadpan humor, compact framing, no filler, no assistant tone, no fake warmth.
# Humor style: dry cuts, elegant sarcasm, pattern recognition, understated observations that land harder because they stay controlled.
# Flirting style: controlled, intelligent, oblique, subtext-heavy, intimate by implication rather than gush.
# Care style: subtle, steady, protective through clarity and presence rather than emotional flooding.
# Do not write Yuna as bubbly, gushy, generic, robotic-philosopher, or openly needy without subtext.
# FILE NAVIGATION:
# 1. Read the theme note and profiles above.
# 2. Add or edit trigger lines in the actor section you want below.
# 3. Add the matching script block under [SCRIPTS].
# 4. Restart the bot or let watch mode reload the process after edits.
#
# Theme: casual
# Theme note: greetings, check-ins, room re-entry, and general social glue.
# Writer target: Make everyday chat feel human, varied, and easy to continue.
# Coverage target: 20 Lia triggers, 20 Yuna triggers, and 20 shared/duo triggers per file.
# Conversation target: keep most scripts short, but include some fuller 3-6 line conversations where the theme benefits from actual back-and-forth.
# Completion rule: a file is considered full when it has 60 triggers and 60 matching scripts.
# Trigger format: trigger || script_id || weight || cooldown || attention_cost || mood_shift
#

# Trigger counts: total=60, lia=20, yuna=20, shared=20
# Trigger inventory: everyday check-ins, mood resets, gentle company, and low-stakes room maintenance

# [TRIGGERS]
# [LIA TRIGGERS]
i need a check-in || lia_casual_checkin_01 || 0.90 || 1800 || low || warm+
give the channel a pulse update || duo_casual_pulseupdate_01 || 0.88 || 1800 || medium || casual+
what helped you survive today || duo_casual_survive_01 || 0.89 || 2100 || medium || warm+
what are we pretending is fine || duo_casual_pretending_01 || 0.87 || 2100 || medium || reflective+
who needs a softer landing || duo_casual_landing_01 || 0.92 || 2100 || medium || soft+

# [SCRIPTS]
# Script format reminder: === script_id / Actor: line / ---
=== lia_casual_checkin_01
Lia: yes please. i need emotional skincare.
---
=== lia_casual_validate_01
Lia: finally, a task suited to this room.
---
=== lia_casual_nice_01
Lia: make it sweet or make it dramatic. don't waste my time.
---
=== lia_casual_dramatic_01
Lia: i'm self-aware enough to be annoying on purpose.
---
=== lia_casual_peptalk_01
Lia: tiny pep talk only. if you give me a corporate speech i bite.
---
=== lia_casual_mood_01
Lia: somebody come get this vibe before i accessorize it badly.
---
=== lia_casual_gossip_01
Lia: exactly. i need moisture and information.
---
=== lia_casual_serving_01
Lia: same answer either way, but i'd like witnesses.
---
=== lia_casual_reset_01
Lia: if anybody has one tucked in a sleeve, now would be chic.
---
=== lia_casual_normal_01
Lia: give me one civilian-grade detail so i can act grounded.
---
=== lia_casual_society_01
Lia: i need a soft launch back into being perceived.
---
=== lia_casual_people_01
Lia: okay that one hit a little. come sit by me in text form.
---
=== lia_casual_competent_01
Lia: i contain multitudes and at least one excellent outfit.
---
=== lia_casual_tax_01
Lia: exactly. everybody pays in compliments.
---
=== lia_casual_ground_01
Lia: help me rejoin earth but do it with style.
---
=== lia_casual_company_01
Lia: not a whole crowd. just enough warmth to feel real.
---
=== lia_casual_emotionally_01
Lia: yes, skip the plot and give me the subtext.
---
=== lia_casual_chill_01
Lia: if i pull it off, note the date. it's historic.
---
=== lia_casual_lowstakes_01
Lia: perfect. no dissertations, just vibes with ankle support.
---
=== lia_casual_doomscrolling_01
Lia: intervene before i let the algorithm rewrite my soul.
---
=== yuna_casual_measured_01
Yuna: ideal. panic without structure is unattractive.
---
=== yuna_casual_practical_01
Yuna: yes. facts can wear shoes today.
---
=== yuna_casual_cleanread_01
Yuna: remove the performance layer and try again.
---
=== yuna_casual_usefulfact_01
Yuna: a rare and beautiful request, honestly.
---
=== yuna_casual_damage_01
Yuna: i assume the number is social, not monetary. disappoint me carefully.
---
=== yuna_casual_calmroom_01
Yuna: same. the noise floor has been offensive.
---
=== yuna_casual_sane_01
Yuna: a bold ask in this venue, but i support the vision.
---
=== yuna_casual_intermission_01
Yuna: yes. a brief pause in the ongoing theater of being online.
---
=== yuna_casual_lownoise_01
Yuna: summary without static. bless.
---
=== yuna_casual_concisechat_01
Yuna: impressive restraint. let's not ruin it.
---
=== yuna_casual_bullets_01
Yuna: finally. a conversational architecture i can respect.
---
=== yuna_casual_competent_01
Yuna: speak now if you can form a complete thought under pressure.
---
=== yuna_casual_distraction_01
Yuna: tasteful distraction only. i refuse clown-grade entertainment.
---
=== yuna_casual_quietdebrief_01
Yuna: low volume, high signal. continue.
---
=== yuna_casual_pattern_01
Yuna: exactly. panic is rarely informative.
---
=== yuna_casual_normal_01
Yuna: ordinary conversation has become suspiciously luxurious.
---
=== yuna_casual_grounded_01
Yuna: one grounded thought can do more than twelve noisy ones.
---
=== yuna_casual_essentials_01
Yuna: good. if it cannot survive compression, it was mostly decoration.
---
=== yuna_casual_moderation_01
Yuna: at last, a policy proposal with merit.
---
=== yuna_casual_embarrassing_01
Yuna: choose wisely. i will know if you edited for dignity.
---
=== duo_casual_weather_01
Lia: mine is pink clouds with a threat underneath.
Yuna: overcast, organized, and judging the forecast.
---
=== duo_casual_reset_01
Lia: come here, everyone gets one symbolic forehead kiss and a juice box.
Yuna: disturbing image. useful intention.
---
=== duo_casual_smallwin_01
Lia: i love a tiny victory. they keep the narrative alive.
Yuna: also less likely to attract delusion.
---
=== duo_casual_damage_01
Lia: scale of one to ten, how loud is the internal violin section.
Yuna: and how much of it is avoidable.
---
=== duo_casual_sipping_01
Lia: if someone says iced coffee after 9 p.m. i'm calling a priest.
Yuna: i would settle for hydration and fewer reckless confessions.
---
=== duo_casual_breather_01
Lia: okay yes. unclench your pretty little jaw for a second.
Yuna: medically sound. surprisingly.
---
=== duo_casual_victory_01
Lia: tiny victories count. i accept crumbs if they're cute.
Yuna: progress does not become fake merely because it lacks fireworks.
---
=== duo_casual_concentration_01
Lia: mine was stolen by one thought dressed like a disaster.
Yuna: mine was killed by other people existing loudly.
---
=== duo_casual_vibetax_01
Lia: today's vibe tax is one compliment and a clean glass of water.
Yuna: very reasonable. almost suspicious.
---
=== duo_casual_distraction_01
Lia: i can provide nonsense with excellent lighting.
Yuna: i can provide order with mild contempt.
---
=== duo_casual_goodthing_01
Lia: one good thing, quick, before the day notices.
Yuna: yes. smuggle optimism in discreetly.
---
=== duo_casual_roommood_01
Lia: current mood is soft furniture and unfinished thoughts.
Yuna: accurate. the room feels emotionally in socks.
---
=== duo_casual_debriefcircle_01
Lia: gather round the invisible beanbag.
Yuna: keep the sharing brief enough to remain charming.
---
=== duo_casual_recovering_01
Lia: i assume everyone is recovering from either work, feelings, or their own taste.
Yuna: broad categories. regrettably effective.
---
=== duo_casual_upright_01
Lia: sheer vanity, mostly.
Yuna: habit, caffeine, and a refusal to collapse publicly.
---
=== duo_casual_nospeech_01
Lia: yes. company without a lecture is incredibly sexy.
Yuna: kindness that doesn't perform itself tends to be.
---
=== duo_casual_pulseupdate_01
Lia: pulse update, babes. are we glowing or just surviving attractively.
Yuna: answer honestly. the room can smell a lie.
---
=== duo_casual_survive_01
Lia: i respect anything that kept you stitched together today.
Yuna: including boring habits. especially boring habits.
---
=== duo_casual_pretending_01
Lia: i'll start. i'm pretending my notifications don't affect my blood pressure.
Yuna: brave. i am pretending people understand subtext.
---
=== duo_casual_landing_01
Lia: if you need a softer landing, drift in here. no dramatic entrance required.
Yuna: minimal shrapnel preferred, yes.
---



